"","Date","ET","Station","SP","Sex","Age","Weight"
"66","6_16",37,"A12","PL","M","J",7
"108","7_14",74,"N17","PMG","F","J",7
"12","5_25",3,"BB18","PL","M","J",7.5
"81","6_29",48,"P7","PL","F","J",9
"90","7_2",54,"H4","PL","F","J",9
"101","7_3",60,"P11","PL","M","J",9
"110","7_14",79,"J20","PMG","F","J",9
"109","7_14",77,"F17","PMG","M","J",9.5
"93","7_2",55,"P13","PL","F","J",10
"38","6_5",21,"D13","PMG","F","J",10.5
"85","7_3",51,"B18","PMG","F","J",11
"33","6_16",18,"A13","PL","M","SA",11.5
"29","6_2",14,"B6","PL","M","J",12
"49","6_15",27,"J10","PL","M","SA",12
"84","7_2",51,"B18","PMG","F","J",12
"98","7_2",57,"N20","PL","F","J",12
"107","7_14",71,"D20","PL","F","J",12
"30","6_2",15,"N19","PMG","F","J",13
"34","6_5",19,"L11","PMG","M","J",13
"54","6_17",32,"J6","PL","M","SA",13
"68","7_3",37,"CC6","PL","F","SA",13
"88","7_13",54,"N3","PL","F","SA",13
"99","7_3",57,"L19","PL","F","J",13
"104","7_14",64,"B4","PMG","M","J",13
"111","7_14",80,"N1","PL","M","J",13
"53","6_16",32,"I6","PL","M","J",13.5
"83","7_14",51,"B16","PMG","F","SA",13.5
"89","7_14",54,"P1","PL","F","J",13.5
"92","7_14",55,"L15","PL","F","SA",13.5
"82","7_13",51,"B16","PMG","F","J",14
"91","7_13",55,"J15","PL","F","SA",14
"106","7_14",69,"H20","PL","M","SA",14
"52","6_15",32,"D8","PL","M","J",14.5
"105","7_13",69,"H20","PL","M","SA",14.5
"5","5_31",2,"CC4","PL","M","SA",15
"22","6_1",10,"B18","PL","F","J",15
"50","7_2",27,"P11","PL","M","SA",15
"59","6_29",34,"P5","PMG","M","SA",15
"60","6_30",34,"P6","PMG","M","SA",15
"61","7_13",34,"D7","PMG","F","SA",15
"63","7_3",34,"P6","PMG","M","SA",15
"67","7_13",37,"AA6","PL","F","A",15
"80","7_2",46,"P2","PMG","F","SA",15
"97","7_14",57,"L19","PL","F","SA",15
"96","7_13",57,"L20","PL","F","SA",15.5
"8","6_1",2,"D3","PL","M","SA",16
"13","5_25",4,"K19","PL","M","A",16
"24","5_31",11,"F2","PMG","F","J",16
"26","6_1",12,"H18","PMG","M","A",16
"31","6_15",16,"L11","PMG","M","A",16
"32","6_5",16,"H20","PMG","M","A",16
"48","7_2",25,"P17","PMG","F","A",16
"75","6_30",43,"CC13","PMG","F","J",16
"76","7_3",43,"CC13","PMG","F","SA",16
"78","7_3",44,"N16","PL","M","SA",16
"95","7_2",56,"N4","PL","M","A",16
"100","7_14",59,"CC3","PMG","M","SA",16
"23","6_2",10,"D17","PL","F","J",16.5
"6","6_15",2,"B2","PL","M","A",17
"35","6_14",20,"AA18","PL","M","A",17
"36","6_15",20,"M16","PL","M","A",17
"37","7_3",20,"M17","PL","M","A",17
"42","6_29",24,"N20","PMG","F","SA",17
"43","6_30",24,"N20","PMG","F","A",17
"69","6_16",38,"CC3","PMG","F","J",17
"73","7_2",38,"AA20","PMG","F","A",17
"74","7_3",38,"CC3","PMG","F","SA",17
"77","6_30",44,"J16","PL","M","SA",17
"87","7_2",53,"J17","PL","M","SA",17
"102","7_13",61,"CC6","PL","M","A",17
"39","7_14",21,"AA10","PMG","F","A",17.5
"51","6_15",28,"CC5","PL","M","A",17.5
"62","7_14",34,"H6","PMG","M","A",17.5
"7","6_17",2,"E3","PL","M","A",18
"14","5_31",4,"L18","PL","M","A",18
"27","6_2",12,"F19","PMG","M","A",18
"28","6_5",13,"N2","PMG","F","J",18
"41","6_15",24,"M18","PMG","F","SA",18
"47","7_14",25,"P16","PMG","F","SA",18
"55","6_15",33,"A2","PMG","M","A",18
"56","6_16",33,"B2","PMG","M","A",18
"70","6_29",38,"CC2","PMG","F","A",18
"86","7_2",52,"L16","PMG","M","A",18
"94","7_14",56,"N20","PL","M","A",18
"10","7_14",2,"CC6","PL","M","A",18.5
"46","7_13",25,"P15","PMG","F","A",18.5
"9","6_30",2,"B3","PL","M","A",19
"11","7_3",2,"A3","PL","M","A",19
"40","7_2",21,"B8","PMG","F","A",19
"57","6_30",33,"F1","PMG","M","A",19
"103","7_14",61,"CC5","PL","M","A",19
"1","5_26",1,"A12","PL","F","A",19.5
"58","7_14",33,"P2","PMG","M","A",20
"4","7_14",1,"CC13","PL","F","A",21
"15","6_17",7,"I12","PMG","F","A",21
"72","7_14",38,"CC2","PMG","F","A",21
"79","7_13",46,"N4","PMG","F","A",21
"2","6_14",1,"AA13","PL","F","A",22
"17","6_5",7,"I11","PMG","F","SA",22
"25","6_15",11,"E2","PMG","F","A",22.5
"71","7_13",38,"CC2","PMG","F","A",22.5
"16","6_29",7,"F8","PMG","F","A",23
"45","6_29",25,"P15","PMG","F","A",23
"64","7_14",35,"J1","PMG","F","A",23
"3","7_13",1,"AA13","PL","F","A",23.5
"44","7_14",24,"N19","PMG","F","A",24
"18","5_26",9,"M9","PL","F","A",25
"65","6_16",36,"B19","PL","M","A",25
"20","6_15",9,"M8","PL","F","A",26
"21","6_29",9,"P6","PL","F","A",27
"19","5_31",9,"L7","PL","F","A",30
